TAXON;Text
Cetraria islandica;in der subalpinen Stufe
Cetraria islandica;in der alpinen Stufe
Cetraria islandica;an sauren Standorten
Cetraria islandica;auf Kuppen und Graten
Cetraria islandica;in Nadelwäldern
Cetraria islandica;in Zwergstrauchgesellschaften
Cetraria islandica;Säurezeiger
Cladonia rangiferina;Säurezeiger
Cladonia rangiferina;in der subalpinen Stufe
Cladonia rangiferina;in der alpinen Stufe
Cladonia rangiferina;an sauren Standorten
Cladonia rangiferina;auf Kuppen und Graten
Cladonia rangiferina;in Nadelwäldern
Cladonia rangiferina;in Zwergstrauchgesellschaften
Rhizocarpon geographicum;in der alpinen Stufe
Rhizocarpon geographicum;an sauren Standorten
Rhizocarpon geographicum;an Felsen
Usnea scabrata;in der subalpinen Stufe
Usnea scabrata;in Nadelwäldern
Usnea scabrata;auf Bäumen
Bryophyta;in Mooren
Bryophyta;in Wäldern
Sphagnidae;in Hochmooren
Sphagnidae;an nährstoffarmen Stellen
Sphagnidae;Säurezeiger
Lycopodiaceae;in Zwergstrauchgesellschaften
Lycopodiaceae;in Nadelwäldern
Huperzia selago;in der subalpinen Stufe
Huperzia selago;in der alpinen Stufe
Lycopodium annotinum;in der subalpinen Stufe
Lycopodium annotinum;Säurezeiger
Selaginella selaginoides;in der subalpinen Stufe
Selaginella selaginoides;in der alpinen Stufe
Selaginella selaginoides;in Zwergstrauchgesellschaften
Selaginella selaginoides;in Rasen
Equisetum arvense;in Äckern
Equisetum arvense;auf Ruderalstellen
Equisetum arvense;in lichten Wäldern
Equisetum arvense;an Wegrändern
Equisetum hyemale;an Bach- oder Flussufern
Equisetum hyemale;in Auenwäldern
Equisetum hyemale;in Schluchtwäldern
Equisetum sylvaticum;in Wäldern
Equisetum sylvaticum;in Hochstaudenfluren
Equisetum telmateia;in Wäldern
Botrychium lunaria;in Weiden
Botrychium lunaria;in Wiesen
Asplenium ruta-muraria;an Felsen
Asplenium ruta-muraria;an Mauern
Asplenium trichomanes;an Felsen
Asplenium trichomanes;an Mauern
Asplenium viride;an Felsen
Asplenium viride;an Mauern
Phyllitis scolopendrium;in Laubwäldern
Phyllitis scolopendrium;in Schluchtwäldern
Phyllitis scolopendrium;an basischen Standorten
Blechnum spicant;an sauren Standorten
Blechnum spicant;in Wäldern
Athyrium filix-femina;in Hochstaudenfluren
Athyrium filix-femina;in Wäldern
Cystopteris fragilis;an Felsen
Cystopteris fragilis;an Mauern
Dryopteris filix-mas;in Hochstaudenfluren
Dryopteris filix-mas;in Wäldern
Polypodium vulgare;an feuchten Stellen
Polypodium vulgare;an Felsen
Polypodium vulgare;in schattigen Lagen
Pteridium aquilinum;an sauren Standorten
Ginkgo biloba;nur (oder v.a.) kultiviert
Abies alba;in der montanen Stufe
Abies alba;in Buchenwäldern
Abies alba;in Nadelwäldern
Larix decidua;in Nadelwäldern
Larix decidua;in der subalpinen Stufe
Larix decidua;in Lärchen-Arvenwäldern
Larix decidua;in den Zentralalpen
Picea abies;in der montanen Stufe
Picea abies;in der subalpinen Stufe
Picea abies;in Nadelwäldern
Pinus cembra;in Nadelwäldern
Pinus cembra;in der subalpinen Stufe
Pinus cembra;in Lärchen-Arvenwäldern
Pinus cembra;in den Zentralalpen
Pinus mugo;in Nadelwäldern
