ID	NAME	RANK	TYPE
1	Root	0	ROOT
2	Alle Taxa	0	TAXON
3	Lichenes	1	TAXON
4	Cetraria islandica	2	TAXON
5	Cladonia rangiferina	3	TAXON
6	Rhizocarpon geographicum	4	TAXON
7	Usnea scabrata	5	TAXON
8	Bryophyta	20	TAXON
9	Marchantiopsida	21	TAXON
10	Marchantiidae	22	TAXON
11	Thalloses Lebermoos	23	TAXON
12	Jungermanniidae	24	TAXON
13	Beblättertes Lebermoos	25	TAXON
14	Bryopsida	31	TAXON
15	Bryidae	32	TAXON
16	Astmoos (=pleurokarp)	33	TAXON
17	Gipfelmoos (=akrokarp)	34	TAXON
18	Sphagnidae	35	TAXON
19	Torfmoos	36	TAXON
20	Pteridophyta	40	TAXON
21	Lycopodiaceae	41	TAXON
22	Huperzia selago	42	TAXON
23	Lycopodium annotinum	43	TAXON
24	Selaginellaceae	46	TAXON
25	Selaginella selaginoides	47	TAXON
26	Ophioglossaceae	51	TAXON
27	Botrychium	52	TAXON
28	Botrychium lunaria	53	TAXON
29	Equisetaceae	55	TAXON
30	Equisetum arvense	56	TAXON
31	Equisetum hyemale	57	TAXON
32	Equisetum sylvaticum	58	TAXON
33	Equisetum telmateia	59	TAXON
34	Polypodiidae	61	TAXON
35	Aspleniaceae	63	TAXON
36	Asplenium	64	TAXON
37	Asplenium ruta-muraria	65	TAXON
38	Asplenium trichomanes	66	TAXON
39	Asplenium viride	67	TAXON
40	Phyllitis scolopendrium	68	TAXON
41	Athyriaceae	71	TAXON
42	Athyrium filix-femina	72	TAXON
43	Blechnaceae	76	TAXON
44	Blechnum spicant	77	TAXON
45	Cystopteridaceae	81	TAXON
46	Cystopteris fragilis	82	TAXON
47	Dennstaedtiaceae	86	TAXON
48	Pteridium aquilinum	87	TAXON
49	Dryopteridaceae	91	TAXON
50	Dryopteris filix-mas	92	TAXON
51	Polypodiaceae	96	TAXON
52	Polypodium vulgare	97	TAXON
53	Spermatophyta	100	TAXON
54	Gymnospermae	101	TAXON
55	Ginkgoaceae	106	TAXON
56	Ginkgo biloba	107	TAXON
57	Cupressaceae	111	TAXON
58	Juniperus	112	TAXON
59	Juniperus communis	113	TAXON
60	Juniperus nana	114	TAXON
61	Juniperus sabina	115	TAXON
62	Pinaceae	121	TAXON
63	Abies alba	122	TAXON
64	Larix decidua	123	TAXON
65	Picea abies	124	TAXON
66	Pinus	125	TAXON
67	Pinus cembra	126	TAXON
68	Pinus mugo	127	TAXON
69	Pinus sylvestris	128	TAXON
70	Pinus uncinata	129	TAXON
71	Taxaceae	141	TAXON
72	Taxus baccata	142	TAXON
73	Angiospermae	151	TAXON
74	Basale Angiospermae	152	TAXON
75	Nymphaeaceae	153	TAXON
76	Nuphar lutea	154	TAXON
77	Nymphaea alba	155	TAXON
78	Aristolochiaceae	156	TAXON
79	Asarum europaeum	157	TAXON
80	Monocotyledonae	161	TAXON
81	Araceae	162	TAXON
82	Arum maculatum	163	TAXON
83	Lemna minor	164	TAXON
84	Tofieldiaceae	165	TAXON
85	Tofieldia calyculata	166	TAXON
86	Colchicaceae	171	TAXON
87	Colchicum autumnale	172	TAXON
88	Liliaceae	173	TAXON
89	Lilium martagon	174	TAXON
90	Lloydia serotina	175	TAXON
91	Tulipa sylvestris	176	TAXON
92	Tulipa sylvestris i.w.S.	177	TAXON
93	Melanthiaceae	181	TAXON
94	Paris quadrifolia	182	TAXON
95	Veratrum album	183	TAXON
96	Veratrum album i.w.S.	184	TAXON
97	Orchidaceae	186	TAXON
98	Cypripedium calceolus	187	TAXON
99	Coeloglossum viride	188	TAXON
100	Dactylorhiza	189	TAXON
101	Dactylorhiza maculata	190	TAXON
102	Dactylorhiza maculata agg.	191	TAXON
103	Gymnadenia conopsea	192	TAXON
104	Nigritella nigra	193	TAXON
105	Nigritella nigra agg.	194	TAXON
106	Orchis	195	TAXON
107	Orchis mascula	196	TAXON
108	Orchis ustulata	197	TAXON
109	Traunsteinera globosa	198	TAXON
110	Listera ovata	199	TAXON
111	Neottia nidus-avis	200	TAXON
112	Ophrys	201	TAXON
113	Ophrys insectifera	202	TAXON
114	Iridaceae	205	TAXON
115	Crocus albiflorus	206	TAXON
116	Iris	207	TAXON
117	Iris pseudacorus	208	TAXON
118	Iris sibirica	209	TAXON
119	Amaryllidaceae	211	TAXON
120	Allioideae	212	TAXON
121	Allium	213	TAXON
122	Allium schoenoprasum	214	TAXON
123	Allium ursinum	215	TAXON
124	Amaryllidoideae	216	TAXON
125	Galanthus nivalis	217	TAXON
126	Leucojum vernum	218	TAXON
127	Narcissus	219	TAXON
128	Narcissus poeticus	220	TAXON
129	Narcissus pseudonarcissus	221	TAXON
130	Asparagaceae	226	TAXON
131	Anthericum liliago	227	TAXON
132	Convallaria majalis	228	TAXON
133	Maianthemum bifolium	229	TAXON
134	Polygonatum	230	TAXON
135	Polygonatum multiflorum	231	TAXON
136	Polygonatum odoratum	232	TAXON
137	Polygonatum verticillatum	233	TAXON
138	Poales	241	TAXON
139	Cyperaceae	242	TAXON
140	Eriophorum	243	TAXON
141	Eriophorum angustifolium	244	TAXON
142	Eriophorum latifolium	245	TAXON
143	Eriophorum scheuchzeri	246	TAXON
144	Eriophorum vaginatum	247	TAXON
145	Schoenus	248	TAXON
146	Schoenus nigricans	249	TAXON
147	Scirpus sylvaticus	250	TAXON
148	Trichophorum caespitosum	251	TAXON
149	Elyna myosuroides	252	TAXON
150	Carex	256	TAXON
151	Nebenschlüssel A	257	TAXON
152	Carex davalliana	258	TAXON
153	Nebenschlüssel B	259	TAXON
154	Carex curvula	260	TAXON
155	Carex curvula i.w.S.	261	TAXON
156	Carex spicata	262	TAXON
157	Carex echinata	263	TAXON
158	Nebenschlüssel C	264	TAXON
159	Carex atrata	265	TAXON
160	Carex atrata i.w.S.	266	TAXON
161	Carex parviflora	267	TAXON
162	Nebenschlüssel D	271	TAXON
163	Carex elata	272	TAXON
164	Carex nigra	273	TAXON
165	Nebenschlüssel E	274	TAXON
166	Carex caryophyllea	275	TAXON
167	Carex digitata	276	TAXON
168	Carex hirta	277	TAXON
169	Nebenschlüssel F	281	TAXON
170	Carex ferruginea	282	TAXON
171	Carex firma	283	TAXON
172	Carex flacca	284	TAXON
173	Carex flava	285	TAXON
174	Carex flava agg.	286	TAXON
175	Carex pallescens	287	TAXON
176	Carex panicea	288	TAXON
177	Carex pendula	289	TAXON
178	Carex sempervirens	290	TAXON
179	Carex sylvatica	291	TAXON
180	Juncaceae	295	TAXON
181	Juncus	296	TAXON
182	Juncus effusus	297	TAXON
183	Juncus inflexus	298	TAXON
184	Juncus alpinoarticulatus	299	TAXON
185	Juncus trifidus	300	TAXON
186	Luzula	301	TAXON
187	Luzula campestris	302	TAXON
188	Luzula lutea	303	TAXON
189	Luzula pilosa	304	TAXON
190	Luzula sylvatica	305	TAXON
191	Luzula sylvatica i.w.S.	306	TAXON
192	Poaceae	311	TAXON
193	Arrhenatherum elatius	312	TAXON
194	Avena sativa	313	TAXON
195	Avena sativa i.w.S.	314	TAXON
196	Avenella flexuosa	315	TAXON
197	Briza media	316	TAXON
198	Bromus	317	TAXON
199	Bromus erectus	318	TAXON
200	Bromus hordeaceus	319	TAXON
201	Bromus sterilis	320	TAXON
202	Bromus tectorum	321	TAXON
203	Dactylis glomerata	322	TAXON
204	Deschampsia caespitosa	323	TAXON
205	Festuca	324	TAXON
206	Festuca arundinacea	325	TAXON
207	Festuca arundinacea i.w.S.	326	TAXON
208	Festuca pratensis	327	TAXON
209	Festuca pratensis i.w.S.	328	TAXON
210	Festuca rubra	329	TAXON
211	Festuca rubra agg.	330	TAXON
212	Festuca valesiaca	331	TAXON
213	Festuca valesiaca agg.	332	TAXON
214	Helictotrichon pubescens	333	TAXON
215	Holcus lanatus	334	TAXON
216	Molinia caerulea	335	TAXON
217	Molinia caerulea agg.	336	TAXON
218	Phragmites australis	337	TAXON
219	Poa	338	TAXON
220	Poa alpina	339	TAXON
221	Poa annua	340	TAXON
222	Poa bulbosa	341	TAXON
223	Poa pratensis	342	TAXON
224	Poa pratensis agg.	343	TAXON
225	Poa trivialis	344	TAXON
226	Poa trivialis i.w.S.	345	TAXON
227	Trisetum flavescens	346	TAXON
228	Agrostis stolonifera	351	TAXON
229	Calamagrostis varia	352	TAXON
230	Milium effusum	353	TAXON
231	Brachypodium	354	TAXON
232	Brachypodium pinnatum	355	TAXON
233	Brachypodium sylvaticum	356	TAXON
234	Elymus repens	357	TAXON
235	Hordeum	358	TAXON
236	Hordeum murinum	359	TAXON
237	Hordeum vulgare	360	TAXON
238	Lolium	361	TAXON
239	Lolium multiflorum	362	TAXON
240	Lolium perenne	363	TAXON
241	Nardus stricta	364	TAXON
242	Secale cereale	365	TAXON
243	Triticum aestivum	366	TAXON
244	Alopecurus pratensis	367	TAXON
245	Anthoxanthum odoratum	368	TAXON
246	Cynosurus cristatus	369	TAXON
247	Phleum	370	TAXON
248	Phleum alpinum	371	TAXON
249	Phleum alpinum agg.	372	TAXON
250	Phleum pratense	373	TAXON
251	Phleum pratense agg.	374	TAXON
252	Sesleria caerulea	375	TAXON
253	Melica	376	TAXON
254	Melica nutans	377	TAXON
255	Stipa pennata	378	TAXON
256	Stipa pennata agg.	379	TAXON
257	Zea mays	380	TAXON
258	Typhaceae	386	TAXON
259	Typha	387	TAXON
260	Typha latifolia	388	TAXON
261	Eudicotyledonae	401	TAXON
262	Berberidaceae	402	TAXON
263	Berberis vulgaris	403	TAXON
264	Papaveraceae	406	TAXON
265	Chelidonium majus	407	TAXON
266	Papaver	408	TAXON
267	Papaver rhoeas	409	TAXON
268	Ranunculaceae	411	TAXON
269	Aconitum	412	TAXON
270	Aconitum napellus	413	TAXON
271	Aconitum napellus agg.	414	TAXON
272	Aconitum vulparia	415	TAXON
273	Aconitum vulparia agg.	416	TAXON
274	Consolida	417	TAXON
275	Consolida regalis	418	TAXON
276	Helleborus	419	TAXON
277	Helleborus foetidus	420	TAXON
278	Trollius europaeus	421	TAXON
279	Aquilegia	422	TAXON
280	Aquilegia vulgaris	423	TAXON
281	Ficaria verna	424	TAXON
282	Ranunculus	426	TAXON
283	Ranunculus acris	427	TAXON
284	Ranunculus acris i.w.S.	428	TAXON
285	Ranunculus bulbosus	429	TAXON
286	Ranunculus montanus	430	TAXON
287	Ranunculus montanus agg.	431	TAXON
288	Ranunculus repens	432	TAXON
289	Ranunculus aconitifolius	433	TAXON
290	Ranunculus platanifolius	434	TAXON
291	Ranunculus alpestris	435	TAXON
292	Ranunculus glacialis	436	TAXON
293	Ranunculus kuepferi	437	TAXON
294	Caltha palustris	441	TAXON
295	Thalictrum	442	TAXON
296	Thalictrum aquilegiifolium	443	TAXON
297	Clematis	444	TAXON
298	Clematis vitalba	445	TAXON
299	Anemone	446	TAXON
300	Anemone nemorosa	447	TAXON
301	Pulsatilla	448	TAXON
302	Pulsatilla alpina	449	TAXON
303	Pulsatilla apiifolia	450	TAXON
304	Pulsatilla vernalis	451	TAXON
305	Amaranthaceae	456	TAXON
306	Chenopodium	457	TAXON
307	Chenopodium album	458	TAXON
308	Chenopodium bonus-henricus	459	TAXON
309	Caryophyllaceae	461	TAXON
310	Alsinoideae	462	TAXON
311	Arenaria	463	TAXON
