ECOATTRIBUTE	ECOVALUE
ECOLOGY	ECOSUBJECT
ECOSUBJECT	ECOATTRIBUTE
ECOVALUE	ECOTEXT
MEDATTRIBUTE	MEDVALUE
MEDICINE	MEDSUBJECT
MEDSUBJECT	MEDATTRIBUTE
MEDVALUE	MEDTEXT
MORATTRIBUTE	MORVALUE
MORPHOLOGY	MORSUBJECT
MORSUBJECT	MORATTRIBUTE
MORSUBJECT	MORSUBJECT
MORVALUE	MORTEXT
NAMATTRIBUTE	NAMVALUE
NAME	NAMSUBJECT
NAMSUBJECT	NAMATTRIBUTE
NAMVALUE	NAMTEXT
PICTURE	PICTURETEXT
PICTURES	PICTURE
PICTURETEXT	PICTURETHEME
ROOT	ECOLOGY
ROOT	MEDICINE
ROOT	MORPHOLOGY
ROOT	NAME
ROOT	PICTURES
ROOT	PICTURETHEME
ROOT	TAXON
ROOT	TAXONLEVEL
TAXON	ECOTEXT
TAXON	MEDTEXT
TAXON	MORTEXT
TAXON	NAMTEXT
TAXON	PICTURETEXT
TAXON	TAXON
TAXON	TAXONLEVEL
TAXONLEVEL	TAXONLEVEL
