Name;Synonym
Torfmoose;Bleichmoose
Wald-Bärlapp;Berg-Bärlapp
Engelsüss;Gewöhnlicher Tüpfelfarn
Samenpflanzen;Blütenpflanzen
Tanne;Weisstanne
Fichte;Rottanne
Föhre;Kiefer
Sadebaum;Stink-Wacholder
Sadebaum;Sefi
Gewöhnliche Berberitze;Sauerdorn
Gewöhnliche Waldrebe;Niele
Anemone;Windröschen
Küchenschelle;Anemone
Frühlings-Anemone;Pelz-Anemone
Fuchsschwanzgewächse;Amarantgewächse
Zurückgekrümmter Fuchsschwanz;Rauhhaariger Fuchsschwanz
Vogelmiere;Hühnerdarm
Stengelloses Leimkraut;Polsternelke
Alpen-Ampfer;Blacke
Stumpfblättriger Ampfer;Blacke
Grau-Erle;Weiss-Erle
Alpen-Erle;Grün-Erle
Hagebuche;Hainbuche
Hagebuche;Weissbuche
Buche;Rotbuche
Studentenröschen;Sumpf-Herzblatt
Mauerpfeffer-Steinbrech;Bewimperter Steinbrech
Immergrüner Steinbrech;Trauben-Steinbrech
Spierstaude;Moor-Geissbart
Spierstaude;Mädesüss
Spierstaude;Rüsterstaude
Aufrechtes Fingerkraut;Blutwurz
Aufrechtes Fingerkraut;Tormentill
Sibbaldie;Gelbling
Wild-Birnbaum;Birnbaum
Holz-Apfelbaum;Apfelbaum
Elsbeerbaum;Elsbeere
Vogelbeerbaum;Vogelbeere
Mehlbeerbaum;Mehlbeere
Schwarzdorn;Schlehdorn
Saat-Luzerne;Luzerne
Honigklee;Steinklee
Sichelklee;Gelbe Luzerne
Rot-Klee;Wiesen-Klee
Kleiner Klee;Zweifelhafter Klee
Weiss-Klee;Kriechender Klee
Gewöhnlicher Hornklee;Hornklee
Gewöhnlicher Wundklee;Wundklee
Gletscher-Tragant;Gletscherlinse
Alpen-Süssklee;Süssklee
Saat-Esparsette;Esparsette
Feld-Spitzkiel;Alpen-Spitzkiel
Robinie;Falsche Akazie
Gewöhnliche Nachtkerze;Zweijährige Nachtkerze
Gewöhnliche Nachtkerze;Nachtkerze
