Deutsch	Wissenschaftlich
Alle Taxa	Alle Taxa
Flechten	Lichenes
Isländisch Moos	Cetraria islandica
Rentierflechte	Cladonia rangiferina
Moose	Bryophyta
Farnpflanzen	Pteridophyta
Bärlappähnliche	Lycopodiatae
Bärlappgewächse	Lycopodiaceae
Wald-Bärlapp	Lycopodium annotinum
Tannenbärlapp	Huperzia selago
Moosfarngewächse	Selaginellaceae
Dorniger Moosfarn	Selaginella selaginoides
Schachtelhalmgewächse	Equisetaceae
Acker-Schachtelhalm	Equisetum arvense
Überwinternder Schachtelhalm	Equisetum hyemale
Wald-Schachtelhalm	Equisetum sylvaticum
Echte Farne	Filicatae
Eusporangiate Farne	Ophioglossidae
Natterzungengewächse	Ophioglossaceae
Gewöhnliche Mondraute	Botrychium lunaria
Leptosporangiate Farne	Pterididae
Streifenfarn	Asplenium
Mauerraute	Asplenium ruta-muraria
Braunstieliger Streifenfarn	Asplenium trichomanes
Grünstieliger Streifenfarn	Asplenium viride
Hirschzunge	Phyllitis scolopendrium
Gewöhnlicher Waldfarn	Athyrium filix-femina
Gewöhnlicher Wurmfarn	Dryopteris filix-mas
Samenpflanzen	Spermatophyta
Nacktsamer	Gymnospermae
Ginkgo-Gewächse	Ginkgoaceae
Ginkgo	Ginkgo biloba
Föhrengewächse	Pinaceae
Tanne	Abies alba
Lärche	Larix decidua
Fichte	Picea abies
Föhre	Pinus
Arve	Pinus cembra
Bergföhre	Pinus mugo
Waldföhre	Pinus sylvestris
Zypressengewächse	Cupressaceae
Wacholder	Juniperus
Gewöhnlicher Wacholder	Juniperus communis
Zwerg-Wacholder	Juniperus nana
Sadebaum	Juniperus sabina
Eibengewächse	Taxaceae
Eibe	Taxus baccata
Bedecktsamer	Angiospermae
Zweikeimblättrige	Dicotyledoneae
Sauerdorngewächse	Berberidaceae
Gewöhnliche Berberitze	Berberis vulgaris
Hahnenfussgewächse	Ranunculaceae
Eisenhut	Aconitum
Gewöhnliche Akelei	Aquilegia vulgaris
Europäische Trollblume	Trollius europaeus
Hahnenfuss	Ranunculus
Knolliger Hahnenfuss	Ranunculus bulbosus
Scharbockskraut	Ranunculus ficaria
Fries Hahnenfuss	Ranunculus friesianus
Berg-Hahnenfuss	Ranunculus montanus
Kriechender Hahnenfuss	Ranunculus repens
Eisenhutblättriger Hahnenfuss	Ranunculus aconitifolius
Alpen-Hahnenfuss	Ranunculus alpestris
Busch-Windröschen	Anemone nemorosa
Sumpf-Dotterblume	Caltha palustris
Gewöhnliche Waldrebe	Clematis vitalba
Küchenschelle	Pulsatilla
Alpen-Anemone	Pulsatilla alpina
Schwefel-Anemone	Pulsatilla apiifolia
Frühlings-Anemone	Pulsatilla vernalis
Papaveraceae	Papaveraceae
Chelidonium majus	Chelidonium majus
Papaver rhoeas	Papaver rhoeas
Nelkengewächse	Caryophyllaceae
Leimkrautartige	Silenoideae
Leimkraut	Silene
Stengelloses Leimkraut	Silene acaulis
Rote Waldnelke	Silene dioica
Nickendes Leimkraut	Silene nutans
Felsen-Leimkraut	Silene rupestris
Gewöhnliches Leimkraut	Silene vulgaris
Nelke	Dianthus
Kartäuser-Nelke	Dianthus carthusianorum
Stein-Nelke	Dianthus sylvestris
Kriechendes Gipskraut	Gypsophila repens
Rotes Seifenkraut	Saponaria ocymoides
Mierenartige	Alsinoideae
Hornkraut	Cerastium
Gewöhnliches Hornkraut	Cerastium holosteoides
Sternmiere	Stellaria
Vogelmiere	Stellaria media
Gänsefussgewächse	Chenopodiaceae
Gänsefuss	Chenopodium
Weisser Gänsefuss	Chenopodium album
Guter Heinrich	Chenopodium bonus-henricus
Knöterichgewächse	Polygonaceae
Ampfer	Rumex
Wiesen-Sauerampfer	Rumex acetosa
Alpen-Ampfer	Rumex alpinus
Stumpfblättriger Ampfer	Rumex obtusifolius
Schildblättriger Ampfer	Rumex scutatus
Knöterich	Polygonum
Schlangen-Knöterich	Polygonum bistorta
Knöllchen-Knöterich	Polygonum viviparum
Nesselartige	Urticales
Hanfgewächse	Cannabaceae
Hopfen	Humulus lupulus
Ulmengewächse	Ulmaceae
Berg-Ulme	Ulmus glabra
Nesselgewächse	Urticaceae
Grosse Brennessel	Urtica dioica
Dickblattgewächse	Crassulaceae
Mauerpfeffer	Sedum
Hauswurz	Sempervivum
Steinbrechgewächse	Saxifragaceae
Mauerpfeffer-Steinbrech	Saxifraga aizoides
Immergrüner Steinbrech	Saxifraga paniculata
Mannsschild-Steinbrech	Saxifraga androsacea
Gegenblättriger Steinbrech	Saxifraga oppositifolia
Rundblätriger Steinbrech	Saxifraga rotundifolia
Sternblütiger Steinbrech	Saxifraga stellaris
Rosengewächse	Rosaceae
Silberwurz	Dryas octopetala
Nelkenwurz	Geum
Berg-Nelkenwurz	Geum montanum
Bach-Nelkenwurz	Geum rivale
Gewöhnliche Nelkenwurz	Geum urbanum
Spierstaude	Filipendula ulmaria
Fingerkraut	Potentilla
Gänse-Fingerkraut	Potentilla anserina
Gold-Fingerkraut	Potentilla aurea
Aufrechtes Fingerkraut	Potentilla erecta
Kriechendes Fingerkraut	Potentilla reptans
Frauenmäntel	Alchemilla
Silbermantel	Alchemilla conjuncta
Frauenmantel	Alchemilla vulgaris
Kleiner Wiesenknopf	Sanguisorba minor
Kirsche	Prunus
Traubenkirsche	Prunus padus
Schwarzdorn	Prunus spinosa
Crataegus	Crataegus
Eberesche	Sorbus
Mehlbeerbaum	Sorbus aria
Vogelbeerbaum	Sorbus aucuparia
Erdbeere	Fragaria
Wald-Erdbeere	Fragaria vesca
Rose	Rosa
Hunds-Rose	Rosa canina
Brombeeren	Rubus
Hülsenfrüchtler	Fabales
Schmetterlingsblütler	Fabaceae
Schneckenklee	Medicago
Hopfenklee	Medicago lupulina
Klee	Trifolium
Alpen-Klee	Trifolium alpinum
Braun-Klee	Trifolium badium
Berg-Klee	Trifolium montanum
Rot-Klee	Trifolium pratense
Weiss-Klee	Trifolium repens
Lotus	Lotus
Gewöhnlicher Hornklee	Lotus corniculatus
Platterbse	Lathyrus
Wiesen-Platterbse	Lathyrus pratensis
Wicke	Vicia
Vogel-Wicke	Vicia cracca
Futter-Wicke	Vicia sativa
Zaun-Wicke	Vicia sepium
Gewöhnlicher Wundklee	Anthyllis vulneraria
Tragant	Astragalus
Alpen-Tragant	Astragalus alpinus
Hufeisenklee	Hippocrepis comosa
Saat-Esparsette	Onobrychis viciifolia
Spitzkiel	Oxytropis
Feld-Spitzkiel	Oxytropis campestris
Nachtkerzengewächse	Onagraceae
Weidenröschen	Epilobium
Aceraceae	Aceraceae
Acer	Acer
Acer campestre	Acer campestre
Acer platanoides	Acer platanoides
Acer pseudoplatanus	Acer pseudoplatanus
Storchschnabelgewächse	Geraniaceae
Gewöhnlicher Reiherschnabel	Erodium cicutarium
Storchschnabel	Geranium
Pyrenäen-Storchschnabel	Geranium pyrenaicum
Ruprechtskraut	Geranium robertianum
Blutroter Storchschnabel	Geranium sanguineum
Wald-Storchschnabel	Geranium sylvaticum
Leingewächse	Linaceae
Purgier-Lein	Linum catharticum
Sauerkleegewächse	Oxalidaceae
Gewöhnlicher Sauerklee	Oxalis acetosella
Kreuzblumengewächse	Polygalaceae
Buchsblättrige Kreuzblume	Polygala chamaebuxus
Gewöhnliche Kreuzblume	Polygala vulgaris
Spindelstrauchgewächse	Celastraceae
Pfaffenhütchen	Euonymus europaea
Kreuzdorngewächse	Rhamnaceae
Faulbaum	Frangula alnus
Gewöhnlicher Kreuzdorn	Rhamnus cathartica
Mistelgewächse	Loranthaceae
Mistel	Viscum album
Wolfsmilchgewächse	Euphorbiaceae
Wolfsmilch	Euphorbia
Mandelblättrige Wolfsmilch	Euphorbia amygdaloides
Zypressen-Wolfsmilch	Euphorbia cyparissias
Ausdauerndes Bingelkraut	Mercurialis perennis
Ölweidengewächse	Elaeagnaceae
Sanddorn	Hippophaë rhamnoides
Araliales	Araliales
Araliaceae	Araliaceae
Hedera helix	Hedera helix
Apiaceae	Apiaceae
Aegopodium podagraria	Aegopodium podagraria
Carum carvi	Carum carvi
Anthriscus sylvestris	Anthriscus sylvestris
Heracleum sphondylium	Heracleum sphondylium
Peucedanum ostruthium	Peucedanum ostruthium
Sonnentaugewächse	Droseraceae
Rundblättriger Sonnentau	Drosera rotundifolia
Zistrosengewächse	Cistaceae
Ovalblättriges Sonnenröschen	Helianthemum ovatum
Veilchengewächse	Violaceae
Zweiblütiges Veilchen	Viola biflora
Langsporniges Stiefmütterchen	Viola calcarata
